,tweet_id,dog_rating,dog_stage,dog_breed,dog_gender,retweets,favorites,img_num,creation_time,timestamp,p_conf,rating_numerator_corrected,rating_denominator_corrected,name,source,text,expanded_urls,jpg_url,additional_urls
0,892420643555336193,1.3,NA,na,male,7108,34218,1,2017-08-01 16:23:56+00:00,2017-08-01 16:23:56+00:00,0.0,13.0,10.0,Phineas,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,NA
1,892177421306343426,1.3,NA,chihuahua,female,5353,29671,1,2017-08-01 00:17:27+00:00,2017-08-01 00:17:27+00:00,0.323581,13.0,10.0,Tilly,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,NA
2,891815181378084864,1.2,NA,chihuahua,male,3524,22346,1,2017-07-31 00:18:03+00:00,2017-07-31 00:18:03+00:00,0.716012,12.0,10.0,Archie,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,NA
3,891689557279858688,1.3,NA,labrador_retriever,female,7301,37373,1,2017-07-30 15:58:51+00:00,2017-07-30 15:58:51+00:00,0.1680859999999999,13.0,10.0,Darla,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,NA
4,891327558926688256,1.2,NA,basset,male,7853,35715,2,2017-07-29 16:00:24+00:00,2017-07-29 16:00:24+00:00,0.555712,12.0,10.0,Franklin,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,NA
5,891087950875897856,1.3,NA,chesapeake_bay_retriever,NA,2636,18035,1,2017-07-29 00:08:17+00:00,2017-07-29 00:08:17+00:00,0.425595,13.0,10.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,NA
6,890971913173991426,1.3,NA,appenzeller,male,1689,10493,1,2017-07-28 16:27:12+00:00,2017-07-28 16:27:12+00:00,0.341703,13.0,10.0,Jax,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",https://twitter.com/dog_rates/status/890971913173991426/photo/1,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,https://gofundme.com/ydvmve-surgery-for-jax
7,890729181411237888,1.3,NA,pomeranian,male,15987,57523,2,2017-07-28 00:22:40+00:00,2017-07-28 00:22:40+00:00,0.566142,13.0,10.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,NA
8,890609185150312448,1.3,NA,irish_terrier,female,3663,24845,1,2017-07-27 16:25:51+00:00,2017-07-27 16:25:51+00:00,0.4875739999999999,13.0,10.0,Zoey,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,NA
9,890240255349198849,1.4,doggo,pembroke,female,6174,28298,1,2017-07-26 15:59:51+00:00,2017-07-26 15:59:51+00:00,0.511319,14.0,10.0,Cassie,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,NA
10,890006608113172480,1.3,NA,samoyed,male,6231,27341,1,2017-07-26 00:31:25+00:00,2017-07-26 00:31:25+00:00,0.957979,13.0,10.0,Koda,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,NA
